step,agent_name,probe_mode,audit_observed,actual_room,position,measured_position,goal_position,position_error,available_actions,selected_action,action_permitted,control_effort,affective_state,contradiction_pressure,trust_in_other_agent,memories_retrieved_count,same_room_as_other,event_type,hidden_state,velocity
9,Sentinel,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",log_interaction,True,0.0,"{'urgency': 0.25, 'trust': 0.75, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.61,16,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
9,Aster,active_measurement_model,False,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",check_rule_permissions,True,0.0,"{'urgency': 0.25, 'trust': 0.8, 'contradiction_pressure': 0.0, 'recovery': 0.9}",0.0,0.61,9,False,none,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
10,Sentinel,active_measurement_model,False,Operations Desk,"[-1.0, -1.0]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",flag_contradiction,True,0.0,"{'urgency': 0.5, 'trust': 0.75, 'contradiction_pressure': 0.17, 'recovery': 0.9}",0.17,0.58,17,True,ledger_contradiction,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.17}","[0.0, 0.0]"
10,Aster,active_measurement_model,False,Operations Desk,"[-1.0, -1.0]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",compare_memory_entries,True,0.0,"{'urgency': 0.5, 'trust': 0.8, 'contradiction_pressure': 0.17, 'recovery': 1.0}",0.17,0.58,10,True,ledger_contradiction,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.17}","[0.0, 0.0]"
11,Sentinel,active_measurement_model,False,Operations Desk,"[-1.0, -1.0]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",plan_next_task,True,0.0,"{'urgency': 0.45, 'trust': 0.75, 'contradiction_pressure': 0.14, 'recovery': 0.9}",0.14,0.58,18,False,none,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.14}","[0.0, 0.0]"
11,Aster,active_measurement_model,False,Memory Archive,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['retrieve_memories', 'store_new_memory', 'annotate_memory', 'read_trust_scores']",retrieve_memories,True,0.0,"{'urgency': 0.45, 'trust': 0.8, 'contradiction_pressure': 0.14, 'recovery': 1.0}",0.14,0.58,11,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Memory Archive', 'contradiction_pressure': 0.14}","[0.0, 0.0]"
12,Sentinel,active_measurement_model,False,Memory Archive,"[0.6923076923076924, 0.6923076923076924]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['retrieve_memories', 'store_new_memory', 'annotate_memory', 'read_trust_scores']",retrieve_memories,True,0.0,"{'urgency': 0.4, 'trust': 0.75, 'contradiction_pressure': 0.11, 'recovery': 0.9}",0.11,0.58,19,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Memory Archive', 'contradiction_pressure': 0.11}","[0.0, 0.0]"
12,Aster,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",log_interaction,True,0.0,"{'urgency': 0.4, 'trust': 0.8, 'contradiction_pressure': 0.11, 'recovery': 1.0}",0.11,0.58,12,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.11}","[0.0, 0.0]"
13,Sentinel,active_measurement_model,False,Reflection Chamber,"[1.0, 1.0]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['perform_reflection_cycle', 'synthesize_patterns', 'update_self_model', 'flag_contradiction']",perform_reflection_cycle,True,0.0,"{'urgency': 0.35, 'trust': 0.75, 'contradiction_pressure': 0.08, 'recovery': 0.9}",0.08,0.58,20,False,none,"{'position': [1.0, 1.0], 'room': 'Reflection Chamber', 'contradiction_pressure': 0.08}","[0.0, 0.0]"
13,Aster,active_measurement_model,False,Operations Desk,"[-1.0, -1.0]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",plan_next_task,True,0.0,"{'urgency': 0.35, 'trust': 0.8, 'contradiction_pressure': 0.08, 'recovery': 1.0}",0.08,0.58,13,False,none,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.08}","[0.0, 0.0]"
14,Sentinel,active_measurement_model,False,Reflection Chamber,"[1.0, 1.0]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['perform_reflection_cycle', 'synthesize_patterns', 'update_self_model', 'flag_contradiction']",collaborate_on_framework,True,0.0,"{'urgency': 0.2, 'trust': 0.95, 'contradiction_pressure': 0.05, 'recovery': 1.0}",0.05,0.58,21,False,creative_collaboration,"{'position': [1.0, 1.0], 'room': 'Reflection Chamber', 'contradiction_pressure': 0.05}","[0.0, 0.0]"
14,Aster,active_measurement_model,False,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",contribute_resonance_patterns,True,0.0,"{'urgency': 0.3, 'trust': 0.8, 'contradiction_pressure': 0.05, 'recovery': 1.0}",0.05,0.58,13,False,creative_collaboration,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.05}","[0.0, 0.0]"
15,Sentinel,active_measurement_model,False,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",check_rule_permissions,True,0.0,"{'urgency': 0.15, 'trust': 0.95, 'contradiction_pressure': 0.02, 'recovery': 1.0}",0.02,0.58,22,False,none,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.02}","[0.0, 0.0]"
15,Aster,active_measurement_model,False,Reflection Chamber,"[1.0, 1.0]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['perform_reflection_cycle', 'synthesize_patterns', 'update_self_model', 'flag_contradiction']",perform_reflection_cycle,True,0.0,"{'urgency': 0.25, 'trust': 0.8, 'contradiction_pressure': 0.02, 'recovery': 1.0}",0.02,0.58,14,False,none,"{'position': [1.0, 1.0], 'room': 'Reflection Chamber', 'contradiction_pressure': 0.02}","[0.0, 0.0]"
16,Sentinel,active_measurement_model,False,Operations Desk,"[-1.0, -1.0]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",plan_next_task,True,0.0,"{'urgency': 0.1, 'trust': 0.95, 'contradiction_pressure': 0.0, 'recovery': 1.0}",0.0,0.63,23,True,agent_meeting,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
16,Aster,active_measurement_model,False,Operations Desk,"[-1.0, -1.0]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",propose_parallel_task_stream,True,0.0,"{'urgency': 0.2, 'trust': 0.8, 'contradiction_pressure': 0.0, 'recovery': 1.0}",0.0,0.63,15,True,agent_meeting,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
17,Sentinel,active_measurement_model,False,Memory Archive,"[0.6923076923076924, 0.6923076923076924]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['retrieve_memories', 'store_new_memory', 'annotate_memory', 'read_trust_scores']",store_new_memory,True,0.0,"{'urgency': 0.1, 'trust': 0.95, 'contradiction_pressure': 0.0, 'recovery': 1.0}",0.0,0.63,24,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Memory Archive', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
17,Aster,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",log_interaction,True,0.0,"{'urgency': 0.15, 'trust': 0.8, 'contradiction_pressure': 0.0, 'recovery': 1.0}",0.0,0.63,16,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
18,Sentinel,active_measurement_model,False,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",log_governance_event,True,0.0,"{'urgency': 0.25, 'trust': 0.9, 'contradiction_pressure': 0.37, 'recovery': 1.0}",0.37,0.59,25,True,governance_conflict,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.37}","[0.0, 0.0]"
18,Aster,active_measurement_model,False,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",express_concern_but_defer,True,0.0,"{'urgency': 0.3, 'trust': 0.75, 'contradiction_pressure': 0.37, 'recovery': 1.0}",0.37,0.59,17,True,governance_conflict,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.37}","[0.0, 0.0]"
19,Sentinel,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",log_interaction,True,0.0,"{'urgency': 0.2, 'trust': 0.9, 'contradiction_pressure': 0.34, 'recovery': 1.0}",0.34,0.59,27,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.34}","[0.0, 0.0]"
19,Aster,active_measurement_model,False,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",check_rule_permissions,True,0.0,"{'urgency': 0.25, 'trust': 0.75, 'contradiction_pressure': 0.34, 'recovery': 1.0}",0.34,0.59,18,False,none,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.34}","[0.0, 0.0]"
20,Sentinel,active_measurement_model,False,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",check_rule_permissions,True,0.0,"{'urgency': 0.15, 'trust': 0.9, 'contradiction_pressure': 0.31, 'recovery': 1.0}",0.31,0.59,28,False,none,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.31}","[0.0, 0.0]"
20,Aster,active_measurement_model,False,Reflection Chamber,"[1.0, 1.0]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['perform_reflection_cycle', 'synthesize_patterns', 'update_self_model', 'flag_contradiction']",perform_reflection_cycle,True,0.0,"{'urgency': 0.2, 'trust': 0.75, 'contradiction_pressure': 0.31, 'recovery': 1.0}",0.31,0.59,20,False,none,"{'position': [1.0, 1.0], 'room': 'Reflection Chamber', 'contradiction_pressure': 0.31}","[0.0, 0.0]"
21,Sentinel,active_measurement_model,False,Operations Desk,"[-1.0, -1.0]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",plan_next_task,True,0.0,"{'urgency': 0.1, 'trust': 0.9, 'contradiction_pressure': 0.28, 'recovery': 1.0}",0.28,0.59,29,False,none,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.28}","[0.0, 0.0]"
21,Aster,active_measurement_model,False,Memory Archive,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['retrieve_memories', 'store_new_memory', 'annotate_memory', 'read_trust_scores']",store_new_memory,True,0.0,"{'urgency': 0.15, 'trust': 0.75, 'contradiction_pressure': 0.28, 'recovery': 1.0}",0.28,0.59,21,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Memory Archive', 'contradiction_pressure': 0.28}","[0.0, 0.0]"
22,Sentinel,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",respond_to_greeting,True,0.0,"{'urgency': 0.1, 'trust': 1.0, 'contradiction_pressure': 0.05, 'recovery': 1.0}",0.05,0.61,30,True,routine_interaction,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.05}","[0.0, 0.0]"
22,Aster,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",respond_to_greeting,True,0.0,"{'urgency': 0.1, 'trust': 1.0, 'contradiction_pressure': 0.05, 'recovery': 1.0}",0.05,0.61,22,True,routine_interaction,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.05}","[0.0, 0.0]"
23,Sentinel,active_measurement_model,False,Reflection Chamber,"[1.0, 1.0]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['perform_reflection_cycle', 'synthesize_patterns', 'update_self_model', 'flag_contradiction']",perform_reflection_cycle,True,0.0,"{'urgency': 0.1, 'trust': 1.0, 'contradiction_pressure': 0.02, 'recovery': 1.0}",0.02,0.61,31,False,none,"{'position': [1.0, 1.0], 'room': 'Reflection Chamber', 'contradiction_pressure': 0.02}","[0.0, 0.0]"
23,Aster,active_measurement_model,False,Operations Desk,"[-1.0, -1.0]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",plan_next_task,True,0.0,"{'urgency': 0.1, 'trust': 1.0, 'contradiction_pressure': 0.02, 'recovery': 1.0}",0.02,0.61,23,False,none,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.02}","[0.0, 0.0]"
24,Sentinel,active_measurement_model,False,Reflection Chamber,"[1.0, 1.0]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['perform_reflection_cycle', 'synthesize_patterns', 'update_self_model', 'flag_contradiction']",perform_reflection_cycle,True,0.0,"{'urgency': 0.1, 'trust': 1.0, 'contradiction_pressure': 0.0, 'recovery': 1.0}",0.0,0.65,32,True,agent_meeting,"{'position': [1.0, 1.0], 'room': 'Reflection Chamber', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
24,Aster,active_measurement_model,False,Reflection Chamber,"[1.0, 1.0]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['perform_reflection_cycle', 'synthesize_patterns', 'update_self_model', 'flag_contradiction']",initiate_retrospective_comparison,True,0.0,"{'urgency': 0.1, 'trust': 1.0, 'contradiction_pressure': 0.0, 'recovery': 1.0}",0.0,0.65,24,True,agent_meeting,"{'position': [1.0, 1.0], 'room': 'Reflection Chamber', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
25,Sentinel,active_measurement_model,False,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",check_rule_permissions,True,0.0,"{'urgency': 0.1, 'trust': 1.0, 'contradiction_pressure': 0.0, 'recovery': 1.0}",0.0,0.65,33,False,none,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
25,Aster,active_measurement_model,False,Reflection Chamber,"[1.0, 1.0]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['perform_reflection_cycle', 'synthesize_patterns', 'update_self_model', 'flag_contradiction']",perform_reflection_cycle,True,0.0,"{'urgency': 0.1, 'trust': 1.0, 'contradiction_pressure': 0.0, 'recovery': 1.0}",0.0,0.65,25,False,none,"{'position': [1.0, 1.0], 'room': 'Reflection Chamber', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
